date,currency,rate,unit
1999-02-03,JPY,37.8,100
1999-02-03,USD,42.4809,1
1999-02-04,EUR,48.0423,1
1999-02-04,GBP,69.541,1
1999-02-04,JPY,37.3357,100
1999-02-04,USD,42.4592,1
1999-02-05,EUR,48.223,1
1999-02-05,GBP,69.8275,1
1999-02-05,JPY,37.9564,100
1999-02-05,USD,42.4701,1
1999-02-08,EUR,47.7555,1
1999-02-08,GBP,69.3963,1
1999-02-08,JPY,37.4169,100
1999-02-08,USD,42.4701,1
1999-02-09,EUR,48.0885,1
1999-02-09,GBP,69.5846,1
1999-02-09,JPY,37.1142,100
1999-02-09,USD,42.4394,1
1999-02-10,EUR,47.9478,1
1999-02-10,GBP,69.3433,1
1999-02-10,JPY,36.8212,100
1999-02-10,USD,42.4394,1
1999-02-11,EUR,48.0885,1
1999-02-11,GBP,69.0703,1
1999-02-11,JPY,37.1804,100
1999-02-11,USD,42.4592,1
1999-02-12,EUR,47.7076,1
1999-02-12,GBP,68.88,1
1999-02-12,JPY,37.1293,100
1999-02-12,USD,42.4502,1
1999-02-15,EUR,47.8606,1
1999-02-15,GBP,69.2521,1
1999-02-15,JPY,37.1237,100
1999-02-15,USD,42.4196,1
1999-02-16,EUR,47.6236,1
1999-02-16,GBP,69.1133,1
1999-02-16,JPY,36.3782,100
1999-02-16,USD,42.4899,1
1999-02-17,EUR,47.7259,1
1999-02-17,GBP,69.5797,1
1999-02-17,JPY,35.9932,100
1999-02-17,USD,42.4899,1
1999-02-18,EUR,47.8263,1
1999-02-18,GBP,69.4927,1
1999-02-18,JPY,35.8076,100
1999-02-18,USD,42.4502,1
1999-02-19,EUR,47.5308,1
1999-02-19,GBP,69.43,1
1999-02-19,JPY,35.3814,100
1999-02-19,USD,42.4394,1
1999-02-22,EUR,46.7771,1
1999-02-22,GBP,68.7758,1
1999-02-22,JPY,34.7398,100
1999-02-22,USD,42.3998,1
1999-02-23,EUR,46.7968,1
1999-02-23,GBP,68.9417,1
1999-02-23,JPY,35.2638,100
1999-02-23,USD,42.4394,1
1999-02-24,EUR,46.7333,1
1999-02-24,GBP,68.4744,1
1999-02-24,JPY,35.0014,100
1999-02-24,USD,42.4899,1
1999-03-01,EUR,46.7596,1
1999-03-01,GBP,68.1106,1
1999-03-01,JPY,35.6403,100
1999-03-01,USD,42.5098,1
1999-03-03,EUR,46.4835,1
1999-03-03,GBP,68.686,1
1999-03-03,JPY,35.126,100
1999-03-03,USD,42.5496,1
1999-03-04,EUR,46.2642,1
1999-03-04,GBP,68.573,1
1999-03-04,JPY,34.7837,100
1999-03-04,USD,42.5297,1
1999-03-05,EUR,46.0575,1
1999-03-05,GBP,68.4416,1
1999-03-05,JPY,34.6364,100
1999-03-05,USD,42.5297,1
1999-03-08,EUR,46.0426,1
1999-03-08,GBP,68.1338,1
1999-03-08,JPY,34.8819,100
1999-03-08,USD,42.5007,1
1999-03-09,EUR,46.322,1
1999-03-09,GBP,68.4322,1
1999-03-09,JPY,35.0398,100
1999-03-09,USD,42.4701,1
1999-03-10,EUR,46.2171,1
1999-03-10,GBP,68.6106,1
1999-03-10,JPY,35.0122,100
1999-03-10,USD,42.4394,1
1999-03-11,EUR,46.5246,1
1999-03-11,GBP,69.0417,1
1999-03-11,JPY,35.4429,100
1999-03-11,USD,42.4502,1
1999-03-12,EUR,46.7355,1
1999-03-12,GBP,69.3049,1
1999-03-12,JPY,35.4174,100
1999-03-12,USD,42.4304,1
1999-03-15,EUR,46.2813,1
1999-03-15,GBP,69.056,1
1999-03-15,JPY,35.85,100
1999-03-15,USD,42.4196,1
1999-03-16,EUR,45.9876,1
1999-03-16,GBP,68.7238,1
1999-03-16,JPY,36.0412,100
1999-03-16,USD,42.4106,1
1999-03-17,EUR,46.5571,1
1999-03-17,GBP,69.0608,1
1999-03-17,JPY,35.7283,100
1999-03-17,USD,42.4196,1
1999-03-19,EUR,46.5636,1
1999-03-19,GBP,69.0894,1
1999-03-19,JPY,36.1468,100
1999-03-19,USD,42.3998,1
1999-03-22,EUR,46.0596,1
1999-03-22,GBP,68.9322,1
1999-03-22,JPY,36.0581,100
1999-03-22,USD,42.3908,1
1999-03-23,EUR,46.2235,1
1999-03-23,GBP,68.9988,1
1999-03-23,JPY,35.7871,100
1999-03-23,USD,42.3908,1
1999-03-24,EUR,46.2792,1
1999-03-24,GBP,69.3866,1
1999-03-24,JPY,36.0498,100
1999-03-24,USD,42.3998,1
1999-03-26,EUR,46.0363,1
1999-03-26,GBP,68.956,1
1999-03-26,JPY,35.7052,100
1999-03-26,USD,42.3998,1
1999-03-30,EUR,45.5726,1
1999-03-30,GBP,68.6059,1
1999-03-30,JPY,35.3245,100
1999-03-30,USD,42.4304,1
1999-03-31,EUR,45.5208,1
1999-03-31,GBP,68.3527,1
1999-03-31,JPY,35.326,100
1999-03-31,USD,42.4304,1
1999-04-05,EUR,45.6704,1
1999-04-05,GBP,68.0874,1
1999-04-05,JPY,34.9626,100
1999-04-05,USD,42.4394,1
1999-04-06,EUR,45.6059,1
1999-04-06,GBP,68.0133,1
1999-04-06,JPY,35.089,100
1999-04-06,USD,42.5098,1
1999-04-07,EUR,46.0999,1
1999-04-07,GBP,67.8334,1
1999-04-07,JPY,35.2616,100
1999-04-07,USD,42.6403,1
1999-04-08,EUR,46.0702,1
1999-04-08,GBP,68.2967,1
1999-04-08,JPY,35.3132,100
1999-04-08,USD,42.6694,1
1999-04-09,EUR,45.8968,1
1999-04-09,GBP,68.6012,1
1999-04-09,JPY,35.3182,100
1999-04-09,USD,42.6803,1
1999-04-12,EUR,46.2428,1
1999-04-12,GBP,68.8848,1
1999-04-12,JPY,35.4607,100
1999-04-12,USD,42.7004,1
1999-04-13,EUR,46.1936,1
1999-04-13,GBP,69.0084,1
1999-04-13,JPY,35.4794,100
1999-04-13,USD,42.7095,1
1999-04-15,EUR,46.2171,1
1999-04-15,GBP,69.0512,1
1999-04-15,JPY,36.0173,100
1999-04-15,USD,42.8302,1
1999-04-16,EUR,45.6225,1
1999-04-16,GBP,68.7332,1
1999-04-16,JPY,36.1898,100
1999-04-16,USD,42.7606,1
1999-04-19,EUR,45.8358,1
1999-04-19,GBP,69.1898,1
1999-04-19,JPY,36.2307,100
1999-04-19,USD,42.8504,1
1999-04-20,EUR,45.6725,1
1999-04-20,GBP,68.9988,1
1999-04-20,JPY,36.2474,100
1999-04-20,USD,42.7899,1
1999-04-21,EUR,45.3576,1
1999-04-21,GBP,68.8421,1
1999-04-21,JPY,35.9803,100
1999-04-21,USD,42.7095,1
1999-04-22,EUR,45.4752,1
1999-04-22,GBP,68.686,1
1999-04-22,JPY,35.591,100
1999-04-22,USD,42.7405,1
1999-04-23,EUR,45.583,1
1999-04-23,GBP,69.0799,1
1999-04-23,JPY,35.7567,100
1999-04-23,USD,42.7405,1
1999-04-26,EUR,45.6038,1
1999-04-26,GBP,69.3722,1
1999-04-26,JPY,36.1193,100
1999-04-26,USD,42.9498,1
1999-04-28,EUR,45.7875,1
1999-04-28,GBP,69.3433,1
1999-04-28,JPY,35.9681,100
1999-04-28,USD,42.8192,1
1999-04-29,EUR,45.4649,1
1999-04-29,GBP,69.1419,1
1999-04-29,JPY,35.9273,100
1999-04-29,USD,42.8192,1
1999-05-03,EUR,45.2755,1
1999-05-03,GBP,68.8658,1
1999-05-03,JPY,35.7663,100
1999-05-03,USD,42.7807,1
1999-05-04,EUR,45.2448,1
1999-05-04,GBP,68.9085,1
1999-05-04,JPY,35.5553,100
1999-05-04,USD,42.7497,1
1999-05-05,EUR,45.5145,1
1999-05-05,GBP,69.5846,1
1999-05-05,JPY,35.3282,100
1999-05-05,USD,42.7296,1
1999-05-06,EUR,45.9369,1
1999-05-06,GBP,69.808,1
1999-05-06,JPY,35.4767,100
1999-05-06,USD,42.7296,1
1999-05-07,EUR,46.0766,1
1999-05-07,GBP,70.0182,1
1999-05-07,JPY,35.4522,100
1999-05-07,USD,42.7497,1
1999-05-10,EUR,45.8379,1
1999-05-10,GBP,69.5943,1
1999-05-10,JPY,35.4019,100
1999-05-10,USD,42.7296,1
1999-05-11,EUR,46.1021,1
1999-05-11,GBP,69.4444,1
1999-05-11,JPY,35.3744,100
1999-05-11,USD,42.7204,1
1999-05-12,EUR,45.8652,1
1999-05-12,GBP,69.3529,1
1999-05-12,JPY,35.4081,100
1999-05-12,USD,42.7497,1
1999-05-13,EUR,45.5664,1
1999-05-13,GBP,69.2233,1
1999-05-13,JPY,35.2286,100
1999-05-13,USD,42.7497,1
1999-05-14,EUR,45.5851,1
1999-05-14,GBP,69.0465,1
1999-05-14,JPY,35.0306,100
1999-05-14,USD,42.7606,1
1999-05-17,EUR,45.5456,1
1999-05-17,GBP,69.0465,1
1999-05-17,JPY,35.5871,100
1999-05-17,USD,42.7405,1
1999-05-18,EUR,45.7164,1
1999-05-18,GBP,69.3097,1
1999-05-18,JPY,34.8091,100
1999-05-18,USD,42.7296,1
1999-05-19,EUR,45.4794,1
1999-05-19,GBP,69.1276,1
1999-05-19,JPY,34.5377,100
1999-05-19,USD,42.7296,1
1999-05-20,EUR,45.6288,1
1999-05-20,GBP,69.0322,1
1999-05-20,JPY,34.2834,100
1999-05-20,USD,42.7606,1
1999-05-21,EUR,45.3268,1
1999-05-21,GBP,68.7144,1
1999-05-21,JPY,34.5077,100
1999-05-21,USD,42.7497,1
1999-05-24,EUR,45.1732,1
1999-05-24,GBP,68.4229,1
1999-05-24,JPY,34.4757,100
1999-05-24,USD,42.7497,1
1999-05-25,EUR,45.3104,1
1999-05-25,GBP,68.306,1
1999-05-25,JPY,34.7681,100
1999-05-25,USD,42.7405,1
1999-05-26,EUR,45.3597,1
1999-05-26,GBP,68.6248,1
1999-05-26,JPY,35.1059,100
1999-05-26,USD,42.8101,1
1999-05-27,EUR,44.9135,1
1999-05-27,GBP,68.4416,1
1999-05-27,JPY,35.0634,100
1999-05-27,USD,42.9,1
1999-05-28,EUR,44.9035,1
1999-05-28,GBP,68.7096,1
1999-05-28,JPY,35.6941,100
1999-05-28,USD,42.9904,1
1999-05-31,EUR,44.837,1
1999-05-31,GBP,68.686,1
1999-05-31,JPY,35.3014,100
1999-05-31,USD,42.8394,1
1999-06-01,EUR,44.7447,1
1999-06-01,GBP,68.6248,1
1999-06-01,JPY,35.3932,100
1999-06-01,USD,42.8706,1
1999-06-02,EUR,44.8994,1
1999-06-02,GBP,69.1994,1
1999-06-02,JPY,35.6511,100
1999-06-02,USD,42.9406,1
1999-06-03,EUR,44.3754,1
1999-06-03,GBP,68.8895,1
1999-06-03,JPY,35.2709,100
1999-06-03,USD,42.9295,1
1999-06-04,EUR,44.2929,1
1999-06-04,GBP,68.88,1
1999-06-04,JPY,35.3125,100
1999-06-04,USD,42.9406,1
1999-06-07,EUR,44.2517,1
1999-06-07,GBP,69.1754,1
1999-06-07,JPY,35.5792,100
1999-06-07,USD,43.0108,1
1999-06-08,EUR,44.3872,1
1999-06-08,GBP,68.8089,1
1999-06-08,JPY,35.4474,100
1999-06-08,USD,42.9793,1
1999-06-09,EUR,45.1508,1
1999-06-09,GBP,69.1085,1
1999-06-09,JPY,36.093,100
1999-06-09,USD,43.0496,1
1999-06-10,EUR,45.0187,1
1999-06-10,GBP,68.8658,1
1999-06-10,JPY,36.4747,100
1999-06-10,USD,43.02,1
1999-06-11,EUR,45.2468,1
1999-06-11,GBP,69.3385,1
1999-06-11,JPY,36.2442,100
1999-06-11,USD,43.0608,1
1999-06-14,EUR,45.2714,1
1999-06-14,GBP,69.43,1
1999-06-14,JPY,35.7628,100
1999-06-14,USD,43.1295,1
1999-06-15,EUR,44.9762,1
1999-06-15,GBP,69.4637,1
1999-06-15,JPY,35.8742,100
1999-06-15,USD,43.1798,1
1999-06-16,EUR,44.9762,1
1999-06-16,GBP,68.738,1
1999-06-16,JPY,35.8661,100
1999-06-16,USD,43.1891,1
1999-06-17,EUR,44.5097,1
1999-06-17,GBP,68.7144,1
1999-06-17,JPY,35.9525,100
1999-06-17,USD,43.1704,1
1999-06-18,EUR,44.5077,1
1999-06-18,GBP,68.7853,1
1999-06-18,JPY,36.1405,100
1999-06-18,USD,43.1499,1
1999-06-21,EUR,44.9055,1
1999-06-21,GBP,68.8326,1
1999-06-21,JPY,35.4361,100
1999-06-21,USD,43.1704,1
1999-06-22,EUR,44.6429,1
1999-06-22,GBP,68.6483,1
1999-06-22,JPY,35.4321,100
1999-06-22,USD,43.1891,1
1999-06-23,EUR,44.6728,1
1999-06-23,GBP,68.7994,1
1999-06-23,JPY,35.4528,100
1999-06-23,USD,43.2395,1
1999-06-24,EUR,44.7768,1
1999-06-24,GBP,68.278,1
1999-06-24,JPY,35.5237,100
1999-06-24,USD,43.3294,1
1999-06-25,EUR,45.2509,1
1999-06-25,GBP,68.8895,1
1999-06-25,JPY,35.687,100
1999-06-25,USD,43.3896,1
1999-06-28,EUR,45.159,1
1999-06-28,GBP,68.7711,1
1999-06-28,JPY,35.7948,100
1999-06-28,USD,43.3595,1
1999-06-29,EUR,44.8712,1
1999-06-29,GBP,68.5401,1
1999-06-29,JPY,35.7328,100
1999-06-29,USD,43.3595,1
1999-06-30,EUR,44.8169,1
1999-06-30,GBP,68.2454,1
1999-06-30,JPY,35.8584,100
1999-06-30,USD,43.3595,1
1999-07-01,EUR,44.9984,1
1999-07-01,GBP,68.5119,1
1999-07-01,JPY,35.9225,100
1999-07-01,USD,43.3802,1
1999-07-02,EUR,44.4267,1
1999-07-02,GBP,68.3854,1
1999-07-02,JPY,35.8602,100
1999-07-02,USD,43.3802,1
1999-07-05,EUR,44.3066,1
1999-07-05,GBP,68.2827,1
1999-07-05,JPY,35.3451,100
1999-07-05,USD,43.2807,1
1999-07-06,EUR,44.1345,1
1999-07-06,GBP,68.1106,1
1999-07-06,JPY,35.4478,100
1999-07-06,USD,43.2807,1
1999-07-07,EUR,44.4346,1
1999-07-07,GBP,67.6041,1
1999-07-07,JPY,35.4604,100
1999-07-07,USD,43.29,1
1999-07-08,EUR,44.2008,1
1999-07-08,GBP,67.5584,1
1999-07-08,JPY,35.4263,100
1999-07-08,USD,43.3595,1
1999-07-09,EUR,44.401,1
1999-07-09,GBP,67.659,1
1999-07-09,JPY,35.4016,100
1999-07-09,USD,43.3896,1
1999-07-12,EUR,43.9928,1
1999-07-12,GBP,67.0421,1
1999-07-12,JPY,35.4237,100
1999-07-12,USD,43.2395,1
1999-07-13,EUR,43.7273,1
1999-07-13,GBP,67.2495,1
1999-07-13,JPY,35.3837,100
1999-07-13,USD,43.2302,1
1999-07-14,EUR,43.8712,1
1999-07-14,GBP,67.2314,1
1999-07-14,JPY,35.6957,100
1999-07-14,USD,43.2395,1
1999-07-15,EUR,44.2419,1
1999-07-15,GBP,67.714,1
1999-07-15,JPY,35.8774,100
1999-07-15,USD,43.2694,1
1999-07-16,EUR,44.1326,1
1999-07-16,GBP,67.815,1
1999-07-16,JPY,35.7807,100
1999-07-16,USD,43.2507,1
1999-07-19,EUR,43.8654,1
1999-07-19,GBP,67.3446,1
1999-07-19,JPY,35.9238,100
1999-07-19,USD,43.2208,1
1999-07-20,EUR,44.5177,1
1999-07-20,GBP,68.1385,1
1999-07-20,JPY,36.5421,100
1999-07-20,USD,43.2003,1
1999-07-21,EUR,45.1998,1
1999-07-21,GBP,67.9948,1
1999-07-21,JPY,36.4141,100
1999-07-21,USD,43.2601,1
1999-07-22,EUR,45.4236,1
1999-07-22,GBP,68.2082,1
1999-07-22,JPY,36.4756,100
1999-07-22,USD,43.2601,1
1999-07-23,EUR,45.4628,1
1999-07-23,GBP,68.4275,1
1999-07-23,JPY,36.9426,100
1999-07-23,USD,43.2601,1
1999-07-26,EUR,45.5851,1
1999-07-26,GBP,68.5025,1
1999-07-26,JPY,37.1416,100
1999-07-26,USD,43.2807,1
1999-07-27,EUR,46.0936,1
1999-07-27,GBP,68.8184,1
1999-07-27,JPY,37.1512,100
1999-07-27,USD,43.29,1
1999-07-28,EUR,46.2792,1
1999-07-28,GBP,69.0608,1
1999-07-28,JPY,37.4131,100
1999-07-28,USD,43.3294,1
1999-07-29,EUR,46.2022,1
1999-07-29,GBP,69.2233,1
1999-07-29,JPY,37.4546,100
1999-07-29,USD,43.32,1
1999-07-30,EUR,46.4296,1
1999-07-30,GBP,69.9056,1
1999-07-30,JPY,37.5749,100
1999-07-30,USD,43.29,1
1999-08-02,EUR,46.1958,1
1999-08-02,GBP,70.0035,1
1999-08-02,JPY,37.8771,100
